"","technology","sum.scores","no.coders","w.rank"
"1","Mobile-based data collection platforms",425,11,38.6363636363636
"2","Social media have",420,11,38.1818181818182
"3","Internet of things",217,6,36.1666666666667
"4","Machine learning",323,9,35.8888888888889
"5","Collective intelligence",282,8,35.25
"6","Low earth orbit ultrafast broadband",282,8,35.25
"7","Artificial intelligence",491,14,35.0714285714286
"8","Open source hardware",346,10,34.6
"9","Wildlife cameras",507,15,33.8
"10","Open data and open source",269,8,33.625
"11","Technologies to increase data quality and reduce uncertainty",302,9,33.5555555555556
"12","Data aggregation software and visualisation and analysis tools",267,8,33.375
"13","Augmented reality",233,7,33.2857142857143
"14","Ecological interaction approaches",365,11,33.1818181818182
"15","DNA-based technologies",431,13,33.1538461538462
"16","Social media mining has",330,10,33
"17","Chatbot",259,8,32.375
"18","Acoustic hardware",289,9,32.1111111111111
"19","Gamification",449,14,32.0714285714286
"20","Virtual reality",254,8,31.75
"21","Computational infrastructure to handle big volumes of data",346,11,31.4545454545455
"22","Acoustic analysis",345,11,31.3636363636364
"23","GPS tracking devices",469,15,31.2666666666667
"24","Drones",467,15,31.1333333333333
"25","AI analysis on sensors",279,9,31
"26","Data exchange tools",247,8,30.875
"27","Tools for sensory impaired citizen scientists",337,11,30.6363636363636
"28","Image analysis satellites",270,9,30
"29","Push Notifications",266,9,29.5555555555556
"30","Visual storytelling",290,10,29
"31","Data analysis to reveal early signals of invasion",433,15,28.8666666666667
"32","Digital twins",373,13,28.6923076923077
"33","Advanced natural language generation",344,12,28.6666666666667
"34","Google Street view",285,10,28.5
"35","Adaptive sampling",227,8,28.375
"36","3D technology to improve CS experience",349,14,24.9285714285714
"37","Robots",199,8,24.875
"38","Neural marketing",222,9,24.6666666666667
"39","eNose technology",280,12,23.3333333333333
