"","technology","n"
"1","3D technology to improve CS experience",7
"2","AI analysis on sensors",9
"3","Acoustic analysis",11
"4","Acoustic hardware",9
"5","Adaptive sampling",8
"6","Advanced natural language generation",5
"7","Artificial intelligence",4
"8","Augmented reality",7
"9","Chatbot",8
"10","Collective intelligence",8
"11","Computational infrastructure to handle big volumes of data",6
"12","DNA-based technologies",6
"13","Data aggregation software and visualisation and analysis tools",8
"14","Data analysis to reveal early signals of invasion",7
"15","Data exchange tools",7
"16","Digital twins",6
"17","Drones",7
"18","Ecological interaction approaches",9
"19","GPS tracking devices",6
"20","Gamification",4
"21","Google Street view",9
"22","Image analysis satellites",7
"23","Internet of things",6
"24","Low earth orbit ultrafast broadband",6
"25","Machine learning",8
"26","Mobile-based data collection platforms",9
"27","Neural marketing",9
"28","Open data and open source",8
"29","Open source hardware",10
"30","Push Notifications",8
"31","Robots",8
"32","Social media have",9
"33","Social media mining has",10
"34","Technologies to increase data quality and reduce uncertainty",8
"35","Tools for sensory impaired citizen scientists",10
"36","Virtual reality",8
"37","Visual storytelling",9
"38","Wildlife cameras",11
"39","eNose technology",12
